ID,Standard name,alias,alias PMID,PMID used,Description
CGB_K3120C,CAP10,,,10482503,capsule-associated protein
CGB_I0630C,CAP1alpha,,,12455690,O-glucosyltransferase
CGB_D5360W,CAP2,,,15728721,capsular related protein
CGB_B5130C,CAP4,,,17462022,"beta-1,2-xylosyltransferase"
CGB_D7020C,CAP5,,,15728721|17462022,"beta-1,2-xylosyltransferase"
CGB_A8090W,CAP59,,,8007987,"alpha-1,3-mannosyltransferase"
CGB_M0250C,CAP6,,,17462022,"alpha-1,3-mannosyltransferase"
CGB_A6290C,CAP60,,,9573112,capsule-associated protein
CGB_C7310W,CAP64,,,8675296,capsule-associated protein
CGB_N2300C,CAS1,,,11703667,O-acetyltransferase
CGB_B6250C,CAS3,,,15590825,capsule related protein
CGB_A7610C,CAS31,,,15590825,protein involved in gxm O-acetylation
CGB_B1360W,CAS32,,,15590825,capsule structure designer protein
CGB_K3570C,CAS33,,,15590825,capsular associated protein
CGB_C2480C,CAS34,,,15590825,putative capsule structure designer protein
CGB_A8340W,CAS35,,,15590825,capsular associated protein
CGB_E6570W,CAS4,,,17462022,putative sugar transporter
CGB_B5570C,CAS41,,,9806801,probable sugar phosphate/phosphate translocator; capsule biosynthetic protein
CGB_A1810C,CAS42,,,17462022,putative sugar transporter
CGB_D1060C,CAS91,,,17462022,putative maltose o-acetyltransferase
CGB_D0440W,CAT1,,,16963629,catalase 1 similar to spore-specific catalases
CGB_J0620W,CAT2,,,16963629,catalase 2
CGB_D0720W,CAT4,,,16963629,catalase 4
CGB_G6360W,CBK1,,,16775005,serine/threonine kinase of the ram signaling pathway
CGB_A9200W,CBP1,,,10899116,calcineurin binding protein
CGB_N2180W,CCC2,,,16102007,Cu(+2)-transporting p-type ATPase
CGB_D6010W,CCH1,,,16950930,Ca(2+)-permeable channel
CGB_A6230W,CCK1,,,21926330,casein kinase i
CGB_D7320C,CCK2,,,21926330,casein kinase i
CGB_D5180C,CCP1,,,19542307,putative mitochondrial cytochrome c peroxidase
CGB_G1280W,CCR4,,,17646356,ccr4-not transcriptional regulatory complex component
CGB_F4260C,CDA1,,,17400891,chitin deactylase
CGB_D6280W,CDA3,,,17400891,chitin deacetylase
CGB_D7860W,CDC10,,,22466042,septin ring protein
CGB_E4470W,CDC11,,,22466042,septin
CGB_C3510C,CDC12,,,22466042,septin
CGB_H4200C,CDC24,,,17233829,guanine nucleotide exchange factor (GEF)
CGB_A4110W,CDC2801,,,18854164,cyclin-dependent kinase of PITSLRE subfamily
CGB_F6080C,CDC3,,,22466042,septin ring protein
CGB_H0200C,CDC42,,,20025659,rho-like GTPase
CGB_F6460W,CDC420,,,20025659,rho-like GTPase
CGB_C5650W,CDC43,,,24014765,geranylgeranyltransferase-I beta subunit
CGB_A6300C,CEL1,,,9573112,putative glycosyl hydrolase
CGB_A9130C,CFL1,,,22737071,hyphal flocculin
CGB_M3480C,CFO1,,,19542307,ferroxidase/laccase
CGB_C8250C,CFO2,,,19542307,ferroxidase
CGB_M3490W,CFT1,,,18282105,major iron permease
CGB_C8260W,CFT2,,,18282105,iron permease
CGB_B5580W,CFT3,,,18282105,iron permease
CGB_G4360C,CHI2,,,19734369,endochitinase
CGB_K3410C,CHI21,,,19734369,endochitinase
CGB_H4180C,CHI22,,,19734369,endochitinase
CGB_E2500C,CHI4,,,19734369,endochitinase
CGB_G0480W,CHO2,,,18854164,phosphatidylethanolamine N-methyltransferase
CGB_G0020C,CHS1,,,16278457,putative chitin synthase
CGB_G3300C,CHS2,,,16278457,putative chitin synthase
CGB_L2690C,CHS3,,,16278457,putative chitin synthase
CGB_A5540W,CHS4,,,16278457,putative chitin synthase
CGB_F4460C,CHS5,,,16278457,putative chitin synthase
CGB_N3200W,CHS6,,,16278457,putative chitin synthase
CGB_E4240C,CHS7,,,16278457,putative chitin synthase
CGB_C9650W,CHS8,,,16278457,putative chitin synthase
CGB_K1560W,CID14,,,23966870,TRAMP complex associated poly(a) polymerase
CGB_I0640W,CID1alpha,,,12455690,cid1-family polyA polymerase
CGB_C2470C,CIG1,,,15720553,cytokine inducing-glycoprotein
CGB_G1440C,CIN1,,,20345666,"intersectin, C-terminal rhoGEF"
CGB_I4080C,CIR1,,,17121456,iron-responsive gata-type transcription factor
CGB_B0530W,CIT1,,,17114598,citrate synthase
CGB_G6520C,CKB1,,,20696827,casein kinase II beta chain
CGB_K2110W,CLC-A,,,14622414,putative voltage-gated chloride channel
CGB_B6510C,CLP1,,,17993575,clampless protein essential for dikaryotic filament formation
CGB_G0660W,CMT1,,,14504286,"alpha-1,3-mannosyltransferase"
CGB_I3140C,CNA1,,,9184205,calcineurin a catalytic subunit
CGB_J2300W,CNB1,,,11251806,"calcineurin b, regulatory subunit"
CGB_C2610W,COQ2,,,19542307,4-hydroxybenzoate polyprenyl transferase
CGB_B6410C,CPA1,,,11415984,cyclophilin A
CGB_B6470W,CPA2,,,11415984,cyclophilin A
CGB_E0290W,CPK1,,,12828643,mitogen activated protein kinase
CGB_C6260W,CPL1,,,18854164,putative secreted protein
CGB_A1720W,CPR2,,,19322200,nonmating-type specific pheromone G-protein coupled receptor
CGB_H3310W,CPS1,,,16790766,polysaccharide synthase
CGB_C9010W,CQS1,,,15686566,quorum sensing-like molecule
CGB_B1370W,CRG1,,,15302835,regulator of G-protein signaling
CGB_D7840W,CRG2,,,18658258,regulator of G protein signaling
CGB_C3230C,CRG3,,,18658258,regulator of G protein signaling
CGB_M3020W,CRK1,,,21111055,protein kinase
CGB_I4410C,CRN1,,,22562467,"coronin, putative cortical actin cytoskeletal component"
CGB_C3130C,CSN1201,,,18854164,cop9 signalosome subunit 12
CGB_G0590W,CSN4,,,18854164,similar to cop9 signalosome subunit 4
CGB_H5080W,CSN7,,,18854164,similar to cop9 signalosome subunit 7
CGB_F2080C,CSR1,,,16278457,putative chitin synthase regulator
CGB_E3460C,CSR2,,,16278457,putative chitin synthase regulator
CGB_B8200C,CSR3,,,16278457,putative chitin synthase regulator
CGB_D8590W,CTF4,,,19542307,chromosome transmission fidelity protein
CGB_D3310C,CTR4,,,17290306,copper uptake transporter
CGB_G4470W,CTS1,,,14555485,calcineurin temperature suppressor
CGB_G3500C,CUF1,,,15334556,copper-sensing transcription factor
CGB_D2310W,CXT1,,,17430900,"beta-1,2-xylosyltransferase"
CGB_F2480C,DAM1,,,19749173,pre-mRNA-splicing factor
CGB_N2190C,DAP2,,,21602483,putative dipeptidyl aminopeptidase
CGB_I1610C,DCN1,,,22719877,scaffold-type e3 ligase
CGB_D7870C,DHA1,,,11035725,delayed-type hypersensitivity antigen
CGB_A5600C,DIP5,,,20485569,amino acid transporter
CGB_A8460W,DOA4,,,18854164,ubiquitin carboxyl-terminal hydrolase
CGB_A8510W,DPH1,,,19151325,diphthamide biosynthesis protein
CGB_J2070C,DUR3,,,19542307,putative urea transporter
CGB_C7080W,EBG1,,,20485569,"endo-1,3(4)-beta-glucanase"
CGB_L3020C,ECA1,,,17502401,sarcoplasmic/endoplasmic reticulum Ca2+-ATPase
CGB_J2360W,ECM2201,,,18854164,Zn2-Cys6 zinc-finger transcription factor
CGB_D4850W,EF3,,,11244063,elongation factor 3
CGB_A6500C,EGCrP1,,,22072709,fungus-specific glucosylceramide
CGB_K3300C,ELP3,,,19542307,pol II transcription elongation factor
CGB_A5410C,ENA1,,,19542307,p-type ATPase sodium pump
CGB_I0350C,ERG1,,,19542307,squalene monooxygenase
CGB_C7600W,ERG10,,,17645443,acetyl-CoA C-acetyltransferase
CGB_B0330W,ERG11,,,17645443,lanosterol 14-alpha-demethylase
CGB_G3140C,ERG13,,,17645443,hydroxymethylglutaryl-CoA synthase
CGB_C7400W,ERG130,,,17645443,hydroxymethylglutaryl-CoA synthase
CGB_A9650C,ERG2,,,17645443,C-8 sterol isomerase
CGB_E6090C,ERG20,,,19542307,farnesyl pyrophosphate synthetase
CGB_B1300C,ERG24,,,17645443,C-14 sterol reductase
CGB_C3480W,ERG25,,,17645443,C-4 methyl sterol oxidase
CGB_D9350C,ERG26,,,19542307,C-3 sterol dehydrogenase
CGB_D5570C,ERG27,,,19542307,3-keto sterol reductase
CGB_C8750W,ERG28,,,19542307,putative ER membrane protein
CGB_A5290W,ERG3,,,17645443,C-5 sterol desaturase
CGB_C6580C,ERG4,,,17645443,C-24(28) sterol reductase
CGB_F1500C,ERG5,,,17645443,C-22 sterol desaturase
CGB_A3260C,ERG6,,,17645443,sterol 24-C-methyltransferase
CGB_D5080W,ERG7,,,17645443,lanosterol synthase
CGB_M0070W,ERG8,,,19542307,phosphomevalonate kinase
CGB_C5090C,ESS1,,,15870468,peptidyl-prolyl cis-trans isomerase
CGB_I1080C,ETF1alpha,,,12455690,electron transfer flavoprotein alpha subunit
CGB_E4160W,EXG104,,,18854164,"glucan 1,3-beta-glucosidase"
CGB_I0500W,FAO1,,,12455690,putative fatty alcohol oxidase in the mating-type locus
CGB_E5660W,FAS1,,,17698629,fatty acid synthase beta subunit
CGB_E5650C,FAS2,,,17698629,fatty acid synthase complex protein
CGB_I4220C,FBP1,,,21478432,f-box protein of scf ubiquitin-ligase complex
CGB_A6420C,FCY1,,,22080454,cytosine deaminase
CGB_C2750W,FCY2,,,22080454,cytosine permease
CGB_D0450C,FCY3,,,22080454,putative cytosine-purine permease
CGB_H3720W,FCY4,,,22080454,cytosine permease
CGB_C0030C,FHB1,,,14614821,flavohemoglobin
CGB_N3410W,FKS1,,,9882657,"1,3-beta-glucan synthase component"
CGB_A3010W,FNX1,,,23028773,multidrug resistance transporter
CGB_N0240C,FPD1,,,17400891,polysaccharide deacetylase
CGB_D5280W,FPR3,,,21602483,peptidyl-prolyl cis-trans isomerase
CGB_I0430C,FRE2,,,19542307,ferric reductase transmembrane component
CGB_B5700W,FRR1,,,10330150,fk506-binding protein 
CGB_E2660C,FUR1,,,22080454,uracil phosphoribosyltransferase
CGB_B2090C,FYV10,,,18854164,putative fyv10 protein homolog
CGB_B2220C,GAT1,,,20673806,gata type zinc finger protein
CGB_C1190C,GAT201,,,18854164,gata family transcription factor
CGB_B9340C,GAT204,,,17661046,"gata transcription factor, capsule-independent antiphagocytic protein"
CGB_C2540W,GCN3,,,19542307,translation initiation factor eif-2b subunit alpha
CGB_B3750W,GCN5,,,20581290,saga complex histone acetyltransferase
CGB_L2710C,GCS1,,,16741577,ceramide glucosyltransferase
CGB_D1320W,GCS2,,,22412978,ADP-ribosylation factor GTPase-activating protein
CGB_L1320C,GIB2,,,16950773,G-protein beta-like rack1 protein homolog
CGB_A4510W,GLN1,,,17114598,glutamine synthetase
CGB_C5110W,GLN3,,,18854164,gata family transcription factor
CGB_I4510C,GLO3,,,22412978,ADP-ribosylation factor GTPase-activating protein
CGB_E2080W,GLR1,,,16524907,glutathione oxidoreductase
CGB_F4450C,GMT1,,,17351078,GDP-mannose transporter
CGB_G4510C,GMT2,,,17351078,GDP-mannose transporter
CGB_M2320C,GNO1,,,14614821,alcohol dehydrogenase
CGB_H1120W,GPA1,,,8005675,guanine nucleotide-binding protein subunit alpha
CGB_B2070W,GPA2,,,17581859,heterotrimeric G-protein coupled receptor alpha subunit
CGB_E6030C,GPA3,,,17581859,heterotrimeric G-protein coupled receptor alpha subunit
CGB_D6540W,GPB1,,,10594037,G-protein beta subunit
CGB_F2310W,GPD,,,10352226,glyceraldehyde-3-phosphate dehydrogenase
CGB_F5455C,GPG2,,,16950773,heterotrimeric G-protein coupled receptor gamma subunit similar to ste18
CGB_F1560C,GPI8,,,15720553,GPI-anchor transamidase
CGB_I2250W,GPR4,,,16291861,G-protein coupled receptor
CGB_E0540C,GPX2,,,19542307,glutathione peroxidase
CGB_E4600W,GRE2,,,19542307,D-lactaldehyde dehydrogenase
CGB_C8160W,GRX3,,,19542307,thioredoxin
CGB_A1280C,GRX5,,,19542307,glutathione-dependent oxidoreductase
CGB_B9030C,GSK3,,,19749173,similar to glycogen synthase kinase
CGB_H3430C,HAD1,,,22707485,3-hydroxyacyl-CoA dehydrogenase
CGB_G0430C,HAD2,,,22707485,3-hydroxyacyl-CoA dehydrogenase
CGB_I0470W,HAP1,,,21124817,Zn2-Cys6 transcription factor
CGB_D5850W,HAP2,,,21124817,CCAAT-binding transcription factor
CGB_E4260C,HAP3,,,21124817,CCAAT -binding transcription factor
CGB_F5390C,HAP5,,,21124817,CCAAT t-binding transcription factor
CGB_D6300C,HAPX,,,21124817,CCAAT -binding transcription factor
CGB_G0260W,HCM1,,,18854164,forkhead transcription factor
CGB_B9680W,HEM12,,,21124817,uroporphyrinogen decarboxylase
CGB_E1210C,HEM13,,,21124817,coproporphyrinogen-III oxidase
CGB_F4370W,HEM15,,,20488877,ferrochelatase
CGB_C3350W,HEM3,,,21124817,porphobilinogen deaminase
CGB_K1330C,HEM4,,,21124817,uroporphyrinogen-III synthase
CGB_F1600C,HEX1,,,19734369,beta-hexosaminidase
CGB_H5300C,HIRA,,,18854164,nucleosome assembly complex protein
CGB_L1640W,HIS3,,,8045413,imidazoleglycerol-phosphate dehydratase
CGB_F0040W,HMG1,,,17645443,hydroxymethylglutaryl-CoA reductase
CGB_F4610W,HOC1,,,22500028,"alpha 1,6-mannosyltransferase"
CGB_D6060C,HOC2,,,22500028,"alpha 1,6-mannosyltransferase"
CGB_C0630C,HOG1,,,15728721,mitogen-activated protein kinase
CGB_L2500C,HOS2,,,18854164,class II histone deacetylase 
CGB_C5390C,HOS4,,,18854164,"similar to Avo2, Tor2 kinase component"
CGB_L1340W,HRD1,,,18854164,e3 ubiquitin-protein ligase
CGB_A8330W,HRK1,,,18854164,serine/threonine-protein kinase
CGB_A3220W,HRT1,,,22719877,ubiquitin ligase complex ring-box protein
CGB_F5380W,HSE102,,,18854164,class e vacuolar protein-sorting machinery protein
CGB_I1250C,HSP12,,,12455690,"heat shock protein, 12Kda"
CGB_E6080W,HST302,,,18854164,histone deacetylase
CGB_H2550W,HSV2,,,18854164,WD40 protein related to 3-phosphorylated inositide-binding protein
CGB_D1780C,HUB1,,,22719877,ubiquitin-like protein
CGB_L1450C,HXK1,,,21652778,hexokinase
CGB_B4490C,HXK2,,,17041184,hexokinase
CGB_G4640C,HXT1,,,15907385,hexose transporter
CGB_I4430C,ICL1,,,12228298,isocitrate lyase
CGB_B2860C,IDI1,,,19542307,isopentenyl-diphosphate delta-isomerase
CGB_A2040C,IDP1,,,20400467,isocitrate dehydrogenase
CGB_I1100W,IKS1,,,12455690,serine/threonine-protein kinase
CGB_B2830W,ILV2,,,15133116,acetolactate synthase
CGB_A4350C,IMD1,,,23071437,inosine-5'-monophosphate dehydrogenase
CGB_H1570W,IPC1,,,11157776,inositol-phosphoryl ceramide synthase
CGB_B5820C,IRE1,,,21852949,"serine/threonine-protein kinase, unfolded protein response"
CGB_E5330W,ISA1,,,19542307,iron-sulfur cluster assembly protein
CGB_B1090C,ITR1,,,20689743,myo-inositol transporter
CGB_J2530W,ITR2,,,20689743,myo-inositol transporter
CGB_G2420C,ITR2A,,,20689743,myo-inositol transporter
CGB_L0190C,ITR3,,,20689743,myo-inositol transporter
none called,ITR3A,,,20689743,myo-inositol transporter
CGB_L3710W,ITR4,,,20689743,myo-inositol transporter
CGB_A0710W,ITR5,,,20689743,myo-inositol transporter
CGB_A2140W,ITR6,,,20689743,myo-inositol transporter
CGB_L2260W,JJJ1,,,18854164,DNAj-like cochaperone
CGB_F5400C,KAP123,,,19749173,importin beta-4 subunit
CGB_F3540C,KAR3,,,20044015,kinesin microtuble motor protein
CGB_A4010W,KIC1,,,16775005,ste/ste20/ysk protein kinase
CGB_K1030C,KIN1,,,18854164,serine/threonine protein kinase
CGB_L2450C,KIN4,,,20485569,serine/threonine protein kinase
CGB_G5020W,KIP1,,,19542307,kinesin-like protein
CGB_B6210C,KRE5,,,20384682,UDP-glucose:glycoprotein glucosyltransferase
CGB_J2060W,KRE6,,,20384682,putative beta-glucan synthase
CGB_I0300W,KRE61,,,20384682,putative beta-glucan synthase
CGB_I0330W,KRE62,,,20384682,putative beta-glucan synthase
CGB_F4430W,KRE64,,,20384682,putative beta-glucan synthase
CGB_K1360W,KSP1,,,18854164,serine/threonine protein kinase
CGB_A3140W,KTR3,,,22500028,"alpha 1,2-mannosyltransferase"
CGB_A4450W,LEU2,,,17114598,3-isopropylmalate dehydrogenase
CGB_A4540C,LIV1,,,18854164,virulence related protein of unknown function
CGB_C7720W,LIV10,,,18854164,virulence related protein of unknown function
CGB_L0590C,LIV11,,,18854164,virulence related protein of unknown function
CGB_D1850C,LIV12,,,18854164,eukaryotic translation initiation factor 3 subunit l
CGB_C5620C,LIV13,,,18854164,endoplasmic reticulum protein
CGB_F6190W,LIV15,,,18854164,translin domain protein
CGB_F4600C,LIV3,,,18854164,wor1/pac2 family transcription factor
CGB_N0160C,LIV4,,,20581290,putative myb-like mRNA polymerase I termination factor
CGB_E1680C,LIV5,,,18854164,protein of unknown function
CGB_B1780C,LIV6,,,23300468,putative endovacuolar system protein 
CGB_N2610C,LIV7,,,18854164,Golgi factor and virulence related protein
CGB_C2020W,LIV8,,,18854164,infection related protein of unknown function
CGB_G0570C,LIV9,,,18854164,infection related ring finger protein
CGB_I0650W,LPD1alpha,,,12455690,putative dihydrolipoyl dehydrogenase
CGB_F3080W,LRG1,,,16194228,rho GTPase-activating protein
CGB_D2350W,LRO1,,,22412978,phospholipid:diacylglycerol acyltransferase
CGB_D5640C,LSB1,,,18854164,bar-SH3 domain protein
CGB_G6500C,LYS2,,,19542307,L-aminoadipate-semialdehyde dehydrogenase
CGB_B3130C,LYS9,,,15189996,saccharopine dehydrogenase
CGB_H3390C,MAN1,,,11359567,mannose-6-phosphate isomerase
CGB_A1840C,MAP1,,,19542307,methionine aminopeptidase
CGB_M3130W,MAT2,,,20485569,hmg (high mobility group) box transcription factor
CGB_I1210W,MAT3,,,12455690,mat3 pheromone repeat protein
CGB_D9030W,MBF1,,,16102007,multiprotein bridging factor
CGB_B8150W,MBS1,,,22080454,mbp1/swi4-like transcription factor
CGB_A9140C,MDR1,,,9409767,putative abc multidrug resistance transporter with similarity to Ste6
CGB_I2300C,MEP1,,,23300468,metalloproteinase
CGB_H4470C,MET3,,,19542307,sulfate adenylyltransferase
CGB_K1510C,MET6,,,15347759,methionine synthase
CGB_C7160W,MET7,,,19542307,folylpolyglutamate synthetase
CGB_I1150C,MFalpha3,,,12455690,mating-type pheromone alpha
CGB_F3260W,MFE2,,,22707485,multifunctional beta-oxidation protein
CGB_H2270C,MFE2,,,23078142,sterol-binding protein
CGB_C0690W,MGA2,,,15470254,transcription factor
CGB_N0460W,MIG1,,,21652778,zinc finger transcription factor
CGB_E2440W,MKK2,,,16194228,serine/threonine-protein kinase
CGB_I3530W,MLN1,,,18854164,bHLH family transcription factor
CGB_M3320W,MLN2,,,18854164,nuclear distribution protein NudC homolog
CGB_C2380C,MLN4,,,18854164,protein of unknown function
CGB_L3620W,MLS1,,,17041184,malate synthase
CGB_F5420C,MMS2,,,18854164,ubiquitin-conjugating enzyme
CGB_B9530C,MNN2,,,22500028,"putative alpha-1,2-mannosyltransferase"
CGB_F4210W,MOB2,,,23055925,ram signaling network protein kinase activator
CGB_A8640W,MP88,,,12228274,immunoreactive mannoprotein
CGB_D6190C,MP98,CDA2,17400891,11504924,chitin-deacetylase
CGB_G6110W,MPD1,,,11021946,mannitol-1-phosphate dehydrogenase
CGB_H1030C,MPK1,,,21926330,mitogen-activated protein kinase
CGB_H3670C,MPK2,,,15075272,mitogen-activated protein (map) kinase
CGB_G2630C,MSL1,,,23042129,putative histone acetyltransferase complex subunit
CGB_F1510W,MTD1,,,19542307,methylenetetrahydrofolate dehydrogenase [NAD(+)]
CGB_I1050W,MYO2alpha,,,12455690,myosin class v heavy chain
CGB_B3200C,NAB2,,,19542307,putative nuclear polyadenylated mRNA-binding protein
CGB_D3540C,NCP1,,,17645443,electron transporter
CGB_A9050C,NDH1,,,16775005,NADH dehydrogenase
CGB_A1750W,NEP1,,,22339665,"similar
to
Neprilysin
(neutral
endopeptidase)
"
CGB_C2720C,NHA1,,,19542307,Na+/H+ antiporter
CGB_E5490W,NHP6B02,,,18854164,nonhistone chromosomal protein
CGB_B6050W,NIC1,,,23653445,putative nickel transporter
CGB_I1220W,NOG2,,,12455690,putative nucleolar gtp-binding protein
CGB_J1350C,NRG1,,,16835458,transcription factor
CGB_E5340C,NSR1,,,20696827,putative mRNA binding protein
CGB_B4350W,NTH1,,,16988267,putative trehalase
CGB_A2070C,NUP75,,,18854164,nuclear pore complex protein
CGB_A8320C,OCH1,,,15256547,"alpha 1,6-mannosyltransferase"
CGB_A4090C,OFD1,,,19749173,putative oxidoreductase
CGB_G6370W,OPS1,,,15760278,opsin-1
CGB_A4670C,OST2,,,21602483,ER oligosaccharyl transferase complex subunit
CGB_N2290W,OTU1,,,22719877,ubiquitin-specific protease
CGB_K0170C,OVA1,,,17367210,protein of unknown function
CGB_A1420W,PAB2,,,23966870,nuclear poly (A) binding protein
CGB_F6480W,PAK1,,,12455960,ste/ste20/paka protein kinase
CGB_D5530C,PAN1,,,18854164,Lag1 family transcription factor
CGB_I1230W,PAN6,,,12455690,pantoate-beta-alanine ligase
CGB_A8570W,PBS2,,,15728721,map kinase kinase 
CGB_D5520W,PBX1,,,17337638,parallel beta-helix repeat protein
CGB_L2490W,PBX2,,,17337638,parallel beta-helix repeat protein
CGB_H4450C,PCK1,,,21652778,phosphoenolpyruvate carboxykinase
CGB_G4100W,PCL103,,,18854164,cyclin
CGB_D1640C,PDE1,,,16339715,phosphodiesterase
CGB_B6520W,PDE2,,,16339715,phosphodiesterase
CGB_C7570W,PDK1,,,22339665,serine threonine protein kinase
CGB_J2460C,PDR5,,,19542307,ATP-binding cassette transporter
CGB_A0010C,PDR5-2,,,19542307,ATP-binding cassette transporter
CGB_N1170W,PDR5-3,,,19542307,ATP-binding cassette transporter
CGB_A2290C,PDR802,,,18854164,Zn2-Cys6 zinc-finger transcription factor
CGB_C9590W,PER1,,,21602483,ER protein for association of GPI-anchored proteins with lipid rafts
CGB_I0240W,PEX1,,,17041184,AAA-peroxin
CGB_K1160W,PEX5,,,17041184,peroxisomal targeting signal (PTS1) receptor 
CGB_H5110W,PEX6,,,17041184,AAA-peroxin
CGB_A5260W,PEX7,,,17041184,peroxisomal signal (PTS2) receptor
CGB_E4110W,PFT1,,,20485569,protein farnesyltransferase alpha subunit
CGB_C4020C,PGU1,,,18854164,polygalacturonase
CGB_C6070W,PHO84,,,19542307,inorganic phosphate transporter
CGB_K0360W,PHY1,TCO3,16672377,15760278,two-component-like sensor kinase/putative phytochrome
CGB_G6100W,PIK1,,,20696827,1-phosphatidylinositol 4-kinase
CGB_H5240W,PKA2,,,14871933,protein kinase A (PKA) catalytic subunit
CGB_C5150C,PKC1,,,18689526,protein kinase C
CGB_B0390C,PKP1,,,19542307,pyruvate dehydrogenase kinase
CGB_A6080W,PKR1,,,11287622,camp dependent protein kinase regulatory subunit
CGB_M1140W,PLB1,,,11123698,phospholipase B
CGB_C7130W,PLC1,,,18532984,phosphatidylinositol phospholipase C
CGB_C8350C,PLC2,,,18532984,phosphatidylinositol-specific phospholipase C
CGB_L2220W,PLR1,,,19151325,putative pyridoxal reductase or aldo-keto reductase
CGB_N2030C,PMA1,,,11118522,plasma membrane H(+)-ATPase
CGB_D6210C,PMC1,,,21655435,putative calcium-transporting ATPase
CGB_H0230C,PMM1,,,20174553,putative phosphomannomutase
CGB_D2210C,PMR1,,,21655435,putative calcium-transporting ATPase
CGB_I0310C,PMT1,,,19633715|17142566,protein-O-mannosyltransferase
CGB_I2570W,PMT2,,,19633715,dolichyl-phosphate-mannose-protein mannosyltransferase
CGB_D3470W,PMT4,,,17142566,O-mannosyltransferase
CGB_C2460C,PNG1,,,21602483,peptide N-glycanase
