H99 ID,H99 Standard Name,H99 alias,H99 alias PMID,PMID used H99,Description H99,JEC21 ID,JEC21 Standard name,JEC21 alias,JEC21 alias PMID,PMID used JEC21,Description JEC21,B3501A ID,B3501A Standard name,B3501A alias,B3501A alias PMID,PMID used B3501A,Description B3501A,WM276_ID,WM276 Standard name,WM276 alias,WM276 alias PMID,PMID used WM276,Description WM276,R265_ID,R265 Standard name,R265 alias,R265 alias PMID,R265 PMID,Description R265,Description H99,Description non-H99,Synteny checked?,Update from Supplement,Curator Comment for FungiDB,H99 Genbank description,AHRD description,Top Sc hit,Sc Name,Sc eval,Sc hit % ID,H99 query length
CNAG_04609,AGO1,,,21067947,argonaute protein,CNJ00490,AGO2,,,21067947,argonaute protein,CNBJ3030,AGO1,,,21067947,argonaute protein,CGB_D9320W,AGO1,,,21067947,argonaute protein,none,,,,21067947,argonaute protein,argonaute protein,argonaute protein,yes,,Curator Comment: H99 contains a single AGO1 gene whereas JEC21 contains 2 Argonaute genes AGO1 and AGO2,argonaute,Protein argonaute-2,,,,,
CNAG_03120,AGS1,,,17244196,"alpha-1,3-glucan synthase",CNG04420,AGS1,,,17244196,"alpha-1,3-glucan synthase",CNBG0280,AGS1,,,17244196,"alpha-1,3-glucan synthase",CGB_G0300C,AGS1,,,17244196,"alpha-1,3-glucan synthase",CNBG_2461,AGS1,,,17244196,"alpha-1,3-glucan synthase","alpha-1,3-glucan synthase","alpha-1,3-glucan synthase",yes,,,"alpha-1,3-glucan synthase",Glycogen synthase,,,,,
CNAG_06901,ALG7,,,21602483,UDP-N-acetyl-glucosamine-1-p transferase,CNK00270,ALG7,,,21602483,UDP-N-acetyl-glucosamine-1-p transferase,CNBK3150,ALG7,,,21602483,UDP-N-acetyl-glucosamine-1-p transferase,CGB_K4240W,ALG7,,,21602483,UDP-N-acetyl-glucosamine-1-p transferase,CNBG_3752,ALG7,,,21602483,UDP-N-acetyl-glucosamine-1-p transferase,UDP-N-acetyl-glucosamine-1-p transferase,UDP-N-acetyl-glucosamine-1-p transferase,yes,,,UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase,YBR243C,ALG7,2.1999999999999999574e-64,40.13,461
CNAG_06439,ALO1,,,19542307,"d-arabinono-1,4-lactone oxidase",CNN01640,ALO1,,,19542307,"d-arabinono-1,4-lactone oxidase",CNBN1590,ALO1,,,19542307,"d-arabinono-1,4-lactone oxidase",CGB_N2380W,ALO1,,,19542307,"d-arabinono-1,4-lactone oxidase",CNBG_5022,ALO1,,,19542307,"d-arabinono-1,4-lactone oxidase","d-arabinono-1,4-lactone oxidase","d-arabinono-1,4-lactone oxidase",yes,,,"D-arabinono-1,4-lactone oxidase","D-arabinono-1,4-lactone oxidase",YML086C,ALO1,3.8999999999999999037e-38,30.13,468
CNAG_03502,ALR2,,,19542307,putative metal ion transporter,CNG00910,ALR2,,,19542307,putative metal ion transporter,CNBG3880,ALR2,,,19542307,putative metal ion transporter,CGB_G5440W,ALR2,,,19542307,putative metal ion transporter,CNBG_2113,ALR2,,,19542307,putative metal ion transporter,putative metal ion transporter,putative metal ion transporter,yes,,,magnesium transporter,Putative metal ion transporter C17A12.14,YFL050C,ALR2,2.8999999999999997982e-65,41.35,474
CNAG_00235,AMT1,,,18055915,low-affinity ammonium transporter,CNA02250,AMT1,MEP1,17645443,18055915,low-affinity ammonium transporter,CNBA2110,AMT1,,,18055915,low-affinity ammonium transporter,CGB_B2590C,AMT1,,,18055915,low-affinity ammonium transporter,CNBG_0332,AMT1,,,18055915,low-affinity ammonium transporter,low-affinity ammonium transporter,low-affinity ammonium transporter,yes,,,amt family ammonium transporter,Ammonium transporter 1,YNL142W,MEP2,4.1000000000000001057e-88,45.37,432
CNAG_04758,AMT2,,,18055915,ammonium transporter,CNJ01880,AMT2,,,18055915,ammonium transporter,CNBJ1590,AMT2,,,18055915,ammonium transporter,CGB_I2530C,AMT2,,,18055915,ammonium transporter,CNBG_6023,AMT2,,,18055915,ammonium transporter,ammonium transporter,ammonium transporter,yes,,,amt family ammonium transporter,Ammonium transporter 1,YNL142W,MEP2,1.100000000000000025e-88,51.28,429
CNAG_00162,AOX1,,,14500501,altemrnative oxidase,CNA01500,AOX1,,,14500501,altemrnative oxidase,CNBA1450,AOX1,,,14500501,altemrnative oxidase,CGB_B1710C,AOX1,,,14500501,altemrnative oxidase,CNBG_0396,AOX1,,,14500501,altemrnative oxidase,altemrnative oxidase,altemrnative oxidase,yes,,,"alternative oxidase, mitochondrial","Alternative oxidase, mitochondrial",,,,,
CNAG_01445,APG9,,,12455690,autophagy-related protein,CND05590,APG9,,,12455690,autophagy-related protein,CNBD0770,APG9,,,12455690,autophagy-related protein,CGB_I1270C,APG9,,,12455690,autophagy-related protein,CNBG_5852,APG9,,,12455690,autophagy-related protein,autophagy-related protein,autophagy-related protein,yes,,,autophagy-like protein 9,Autophagy-related protein 9 Autophagy-related protein 9,YDL149W,ATG9,1.2000000000000000539e-95,38.17,634
CNAG_06574,APP1,,,21971702,secreted antiphagocytic protein,CNF04430,APP1,,,21971702,secreted antiphagocytic protein,CNBF0470,APP1,,,21971702,secreted antiphagocytic protein,CGB_F0410C,APP1,,,21971702,secreted antiphagocytic protein,CNBG_1982,APP1,,,21971702,secreted antiphagocytic protein,secreted antiphagocytic protein,secreted antiphagocytic protein,yes,,,antiphagocytic protein 1,Unknown protein,,,,,
CNAG_06469,APT1,,,19949048,aminophospholipid translocase(flippase),CNN01890,APT1,,,19949048,aminophospholipid translocase(flippase),CNBN1860,APT1,,,19949048,aminophospholipid translocase(flippase),CGB_N3050C,APT1,,,19949048,aminophospholipid translocase(flippase),CNBG_4994,APT1,,,19949048,aminophospholipid translocase(flippase),aminophospholipid translocase(flippase),aminophospholipid translocase(flippase),yes,,,phospholipid-translocating ATPase,Probable phospholipid-transporting ATPase ID,YER166W,DNF1,1.200000000000000093e-162,36.44,1383
CNAG_01278,APT2,,,19949048,aminophospholipid translocase (flippase),CND03980,APT2,,,19949048,aminophospholipid translocase (flippase),CNBD2320,APT2,,,19949048,aminophospholipid translocase (flippase),CGB_D6700W,APT2,,,19949048,aminophospholipid translocase (flippase),CNBG_0847,APT2,,,19949048,aminophospholipid translocase (flippase),aminophospholipid translocase (flippase),aminophospholipid translocase (flippase),yes,,,phospholipid-translocating ATPase,Putative phospholipid-transporting ATPase 9,YER166W,DNF1,8.4999999999999999677e-208,41.97,1320
CNAG_00383,APT3,,,19949048,aminophospholipid translocase (flippase),CNA03720,APT3,,,19949048,aminophospholipid translocase (flippase),CNBA3510,APT3,,,19949048,aminophospholipid translocase (flippase),CGB_A3440W,APT3,,,19949048,aminophospholipid translocase (flippase),CNBG_1522,APT3,,,19949048,aminophospholipid translocase (flippase),aminophospholipid translocase (flippase),aminophospholipid translocase (flippase),yes,,,phospholipid-transporting ATPase,Probable phospholipid-transporting ATPase IA,YAL026C,DRS2,0,51.33,1313
CNAG_05282,APT4,,,19949048,aminophospholipid translocase (flippase),CNH03470,APT4,,,19949048,aminophospholipid translocase (flippase),CNBI3300,APT4,,,19949048,aminophospholipid translocase (flippase),CGB_I4230C,APT4,,,19949048,aminophospholipid translocase (flippase),CNBG_5706,APT4,,,19949048,aminophospholipid translocase (flippase),aminophospholipid translocase (flippase),aminophospholipid translocase (flippase),yes,,,phospholipid-translocating ATPase,Phospholipid-transporting ATPase 2,YIL048W,NEO1,0,52.37,1096
CNAG_01742,AQY1,,,19542307,aquaporin water channel,CNC02450,AQY1,,,19542307,aquaporin water channel,CNBC4780,AQY1,,,19542307,aquaporin water channel,CGB_C3530C,AQY1,,,19542307,aquaporin water channel,CNBG_3279,AQY1,,,19542307,aquaporin water channel,aquaporin water channel,aquaporin water channel,yes,,,aquaporin-associated protein,Aquaporin-4,YPR192W,AQY1,1.0999999999999999418e-34,39.92,243
CNAG_04258,ARF1,,,16775005,ADP-ribosylation factor,CNI03960,ARF1,,,16775005,ADP-ribosylation factor,CNBH3780,ARF1,,,16775005,ADP-ribosylation factor,CGB_H4080W,ARF1,,,16775005,ADP-ribosylation factor,CNBG_2790,ARF1,,,16775005,ADP-ribosylation factor,ADP-ribosylation factor,ADP-ribosylation factor,yes,,,arf/Sar family protein,ADP-ribosylation factor 2,YDL137W,ARF2,1.5000000000000000155e-32,42.22,180
CNAG_03251,ARF2,,,19542307,ADP-ribosylation factor,CNG03220,ARF2,,,19542307,ADP-ribosylation factor,CNBG1540,ARF2,,,19542307,ADP-ribosylation factor,CGB_G2180W,ARF2,,,19542307,ADP-ribosylation factor,CNBG_2340,ARF2,,,19542307,ADP-ribosylation factor,ADP-ribosylation factor,ADP-ribosylation factor,yes,,,ADP-ribosylation factor,ADP-ribosylation factor K,YDL137W,ARF2,3.199999999999999754e-64,78.45,181
CNAG_02812,ARG3,,,19151325,ornithine carbamoyltransferase,CNC04300,ARG3,,,19151325,ornithine carbamoyltransferase,CNBC2880,ARG3,,,19151325,ornithine carbamoyltransferase,CGB_C6410C,ARG3,,,19151325,ornithine carbamoyltransferase,CNBG_3466,ARG3,,,19151325,ornithine carbamoyltransferase,ornithine carbamoyltransferase,ornithine carbamoyltransferase,yes,,,ornithine carbamoyltransferase,Ornithine carbamoyltransferase,YJL088W,ARG3,2.7999999999999997839e-50,41.64,341
CNAG_00622,ARG8,,,19151325,acetylornithine aminotransferase,CNA06020,ARG8,,,19151325,acetylornithine aminotransferase,CNBA5830,ARG8,,,19151325,acetylornithine aminotransferase,CGB_A6490W,ARG8,,,19151325,acetylornithine aminotransferase,CNBG_1306,ARG8,,,19151325,acetylornithine aminotransferase,acetylornithine aminotransferase,acetylornithine aminotransferase,yes,,,acetylornithine aminotransferase,Acetylornithine aminotransferase,YOL140W,ARG8,1.2999999999999999422e-67,41.83,416
CNAG_04090,ATF1,,,16045626,activating transcription factor,CNB05690,ATF1,,,16045626,activating transcription factor,CNBB0100,ATF1,,,16045626,activating transcription factor,CGB_A0090C,ATF1,,,16045626,activating transcription factor,CNBG_5393,ATF1,,,16045626,activating transcription factor,activating transcription factor,activating transcription factor,yes,,,activating transcription factor,Cyclic AMP-dependent transcription factor ATF-2,,,,,
CNAG_03133,ATG2602,,,18854164,UDP-glucose sterol transferase,CNG04310,ATG2602,,,18854164,UDP-glucose sterol transferase,CNBG0380,ATG2602,,,18854164,UDP-glucose sterol transferase,CGB_G0420C,ATG2602,,,18854164,UDP-glucose sterol transferase,CNBG_2450,ATG2602,,,18854164,UDP-glucose sterol transferase,UDP-glucose sterol transferase,UDP-glucose sterol transferase,yes,,,"UDP-glucose,sterol transferase",Sterol 3-beta-glucosyltransferase,YLR189C,ATG26,.000000010999999999999999238,24.72,271
CNAG_04358,ATM1,,,19542307,mitochondrial inner membrane ABC transporter,CNI01920,ATM1,,,19542307,mitochondrial inner membrane ABC transporter,CNBH1800,ATM1,,,19542307,mitochondrial inner membrane ABC transporter,CGB_H2660W,ATM1,,,19542307,mitochondrial inner membrane ABC transporter,CNBG_2706,ATM1,,,19542307,mitochondrial inner membrane ABC transporter,mitochondrial inner membrane ABC transporter,mitochondrial inner membrane ABC transporter,yes,,,"iron-sulfur clusters transporter ATM1, mitochondrial",Lipid A export ATP-binding/permease protein MsbA,YMR301C,ATM1,4.0000000000000001042e-146,55.73,628
CNAG_05750,ATP1,,,19542307,ATP synthase subunit alpha,CNF02280,ATP1,,,19542307,ATP synthase subunit alpha,CNBF2430,ATP1,,,19542307,ATP synthase subunit alpha,CGB_F3520C,ATP1,,,19542307,ATP synthase subunit alpha,CNBG_1793,ATP1,,,19542307,ATP synthase subunit alpha,ATP synthase subunit alpha,ATP synthase subunit alpha,yes,,,"ATP synthase subunit alpha, mitochondrial",ATP synthase subunit alpha,YBL099W,ATP1,1.8999999999999998764e-170,74.26,540
CNAG_02434,ATX1,,,16102007,putative copper ion transporter,CNE01230,ATX1,,,16102007,putative copper ion transporter,CNBE1180,ATX1,,,16102007,putative copper ion transporter,CGB_E1460W,ATX1,,,16102007,putative copper ion transporter,CNBG_4136,ATX1,,,16102007,putative copper ion transporter,putative copper ion transporter,putative copper ion transporter,yes,,,copper chaperone,Copper transport protein ATOX1,YNL259C,ATX1,.0000000020000000000000001246,49.21,63
CNAG_06370,BAT2,,,18854164,branched-chain-amino-acid aminotransferase,CNN00980,BAT2,,,18854164,branched-chain-amino-acid aminotransferase,CNBN0970,BAT2,,,18854164,branched-chain-amino-acid aminotransferase,CGB_N1380W,BAT2,,,18854164,branched-chain-amino-acid aminotransferase,CNBG_5086,BAT2,,,18854164,branched-chain-amino-acid aminotransferase,branched-chain-amino-acid aminotransferase,branched-chain-amino-acid aminotransferase,yes,,,branched-chain amino acid aminotransferase,Branched-chain-amino-acid aminotransferase,YJR148W,BAT2,2.6999999999999999645e-90,55.5,382
CNAG_04755,BCK1,,,16194228,mitogen-activated protein (map) kinase kinase kinase,CNJ01850,BCK1,,,16194228,mitogen-activated protein (map) kinase kinase kinase,CNBJ1620,BCK1,,,16194228,mitogen-activated protein (map) kinase kinase kinase,CGB_I2500W,BCK1,,,16194228,mitogen-activated protein (map) kinase kinase kinase,CNBG_6020,BCK1,,,16194228,mitogen-activated protein (map) kinase kinase kinase,mitogen-activated protein (map) kinase kinase kinase,mitogen-activated protein (map) kinase kinase kinase,yes,,,STE/STE11/BCK1 protein kinase,Serine/threonine-protein kinase 4,YJL095W,BCK1,2.0000000000000000514e-58,25.37,1419
CNAG_01897,BDF1,,,19542307,bromodomain transcription factor,CNK02380,BDF1,,,19542307,bromodomain transcription factor,CNBK1170,BDF1,,,19542307,bromodomain transcription factor,CGB_K1440W,BDF1,,,19542307,bromodomain transcription factor,CNBG_3046,BDF1,,,19542307,bromodomain transcription factor,bromodomain transcription factor,bromodomain transcription factor,yes,,,bromodomain-containing factor 1,Bromodomain-containing factor 1,YLR399C,BDF1,1.6000000000000000616e-26,29.3,686
CNAG_03993,BIM1,,,20044015,microtubule binding protein,CNB04790,BIM1,,,20044015,microtubule binding protein,CNBB0950,BIM1,,,20044015,microtubule binding protein,CGB_A1200C,BIM1,,,20044015,microtubule binding protein,CNBG_5477,BIM1,,,20044015,microtubule binding protein,microtubule binding protein,microtubule binding protein,yes,,,RP/EB family microtubule-associated protein,Microtubule-associated protein RP/EB family member 1,YER016W,BIM1,1.0000000000000000833e-31,43.43,297
CNAG_06346,BLP1,,,21402362,barwin-like protein domain,,,,,21402362,barwin-like protein domain,CNBN0740,BLP1,,,21402362,barwin-like protein domain,CGB_N1150C,BLP1,,,21402362,barwin-like protein domain,CNBG_5109,BLP1,,,21402362,barwin-like protein domain,barwin-like protein domain,barwin-like protein domain,yes,,,hypothetical protein,Putative ripening-related protein 6,,,,,
CNAG_06347,BLP2,,,21402362,pr4/barwin domain protein,CNN00760,BLP2,,,21402362,pr4/barwin domain protein,CNBN0750,BLP2,,,21402362,pr4/barwin domain protein,CGB_N1160C,BLP2,,,21402362,pr4/barwin domain protein,CNBG_5108,BLP2,,,21402362,pr4/barwin domain protein,pr4/barwin domain protein,pr4/barwin domain protein,yes,,,hypothetical protein,Unknown protein,,,,,
CNAG_06205,BLP3,,,21402362,pr4/barwin domain protein,CNM02040,BLP3,,,21402362,pr4/barwin domain protein,CNBM1910,BLP3,,,21402362,pr4/barwin domain protein,CGB_M3150C,BLP3,,,21402362,pr4/barwin domain protein,CNBG_4909,BLP3,,,21402362,pr4/barwin domain protein,pr4/barwin domain protein,pr4/barwin domain protein,yes,,,hypothetical protein,Unknown protein,,,,,
CNAG_01562,BLP4,,,21402362,pr4/barwin domain protein,CNC00760,BLP4,,,21402362,pr4/barwin domain protein,CNBC6500,BLP4,,,21402362,pr4/barwin domain protein,CGB_C1300W,BLP4,,,21402362,pr4/barwin domain protein,CNBG_3874,BLP4,,,21402362,pr4/barwin domain protein,pr4/barwin domain protein,pr4/barwin domain protein,yes,,,hypothetical protein,Unknown protein,,,,,
CNAG_05372,BLP5,,,21402362,pr4/barwin domain protein,CNH00400,BLP5,,,21402362,pr4/barwin domain protein,CNBL0380,BLP5,,,21402362,pr4/barwin domain protein,CGB_L0140W,BLP5,,,21402362,pr4/barwin domain protein,CNBG_4479,BLP5,,,21402362,pr4/barwin domain protein,pr4/barwin domain protein,pr4/barwin domain protein,yes,,,B2-aldehyde-forming enzyme,Unknown protein,,,,,
CNAG_03716,BLP6,,,21402362,pr4/barwin domain protein,CNB02130,BLP6,,,21402362,pr4/barwin domain protein,CNBB3590,BLP6,,,21402362,pr4/barwin domain protein,CGB_B5350C,BLP6,,,21402362,pr4/barwin domain protein,CNBG_0118,BLP6,,,21402362,pr4/barwin domain protein,pr4/barwin domain protein,pr4/barwin domain protein,yes,,,hypothetical protein,Allergen Asp f 7,,,,,
CNAG_02780,BNA5,,,19151325,kynureninase,CNC03980,BNA5,,,19151325,kynureninase,CNBC3200,BNA5,,,19151325,kynureninase,CGB_C6090W,BNA5,,,19151325,kynureninase,CNBG_3435,BNA5,,,19151325,kynureninase,kynureninase,kynureninase,yes,,,kynureninase,Kynureninase,YLR231C,BNA5,4.9999999999999997883e-75,43.42,456
CNAG_02779,BNA6,,,19151325,nicotinate-nucleotide pyrophosphorylase,CNC03970,BNA6,,,19151325,nicotinate-nucleotide pyrophosphorylase,CNBC3210,BNA6,,,19151325,nicotinate-nucleotide pyrophosphorylase,CGB_C6080C,BNA6,,,19151325,nicotinate-nucleotide pyrophosphorylase,CNBG_3434,BNA6,,,19151325,nicotinate-nucleotide pyrophosphorylase,nicotinate-nucleotide pyrophosphorylase,nicotinate-nucleotide pyrophosphorylase,yes,,,nicotinate-nucleotide diphosphorylase (carboxylating),Nicotinate-nucleotide pyrophosphorylase [carboxylating],YFR047C,BNA6,3.0999999999999998177e-72,53.47,288
CNAG_04815,BNI1,,,22562467,formin,CNJ02400,BNI1,,,22562467,formin,CNBJ1070,BNI1,,,22562467,formin,CGB_I3330W,BNI1,,,22562467,formin,CNBG_5652,BNI1,,,22562467,formin,formin,formin,yes,,,cytokinesis protein,Formin-A,YNL271C,BNI1,4.1999999999999997742e-14,22.18,1596
CNAG_02071,BNI4,,,18854164,putative scaffold protein,CNE04650,BNI4,,,18854164,putative scaffold protein,CNBE4650,BNI4,,,18854164,putative scaffold protein,CGB_E6220C,BNI4,,,18854164,putative scaffold protein,CNBG_5220,BNI4,,,18854164,putative scaffold protein,putative scaffold protein,putative scaffold protein,yes,,,hypothetical protein,Protein BNI4,YNL233W,BNI4,.000046000000000000000036,20.47,728
CNAG_07311,BRE2,,,19542307,Set1/Ash2 histone methyltransferase complex subunit,CNA01030,BRE2,,,19542307,Set1/Ash2 histone methyltransferase complex subunit,CNBA1000,BRE2,,,19542307,Set1/Ash2 histone methyltransferase complex subunit,CGB_B1260C,BRE2,,,19542307,Set1/Ash2 histone methyltransferase complex subunit,CNBG_0441,BRE2,,,19542307,Set1/Ash2 histone methyltransferase complex subunit,Set1/Ash2 histone methyltransferase complex subunit,Set1/Ash2 histone methyltransferase complex subunit,yes,,,compass component bre2,Set1/Ash2 histone methyltransferase complex subunit ASH2,YLR015W,BRE2,5.7999999999999995829e-16,26.84,421
CNAG_01457,BSP1,,,12455690,protein of unknown function; encoded on mat locus,CND05900,BSP1,,,12455690,protein of unknown function; encoded on mat locus,CNBD0490,BSP1,,,12455690,protein of unknown function; encoded on mat locus,CGB_I0600W,BSP1,,,12455690,protein of unknown function; encoded on mat locus,CNBG_5876,BSP1,,,12455690,protein of unknown function; encoded on mat locus,protein of unknown function; encoded on mat locus,protein of unknown function; encoded on mat locus,yes,,,hypothetical protein,Structure-specific endonuclease subunit slx4,,,,,
CNAG_07005,BSP2,,,12455690,armadillo/beta-catenin repeat protein; encoded on mat locus,CND05830,BSP2,,,12455690,armadillo/beta-catenin repeat protein; encoded on mat locus,CNBD0560,BSP2,,,12455690,armadillo/beta-catenin repeat protein; encoded on mat locus,CGB_I1020C,BSP2,,,12455690,armadillo/beta-catenin repeat protein; encoded on mat locus,CNBG_5870,BSP2,,,12455690,armadillo/beta-catenin repeat protein; encoded on mat locus,armadillo/beta-catenin repeat protein; encoded on mat locus,armadillo/beta-catenin repeat protein; encoded on mat locus,yes,,,hypothetical protein,Armadillo repeat-containing protein 8,,,,,
CNAG_06804,BSP3,,,12455690,btp/pz domain protein,CND05670,BSP3,,,12455690,btp/pz domain protein,CNBD0690,BSP3,,,12455690,btp/pz domain protein,CGB_I1180W,BSP3,,,12455690,btp/pz domain protein,CNBG_5860,BSP3,,,12455690,btp/pz domain protein,btp/pz domain protein,btp/pz domain protein,yes,,,hypothetical protein,Unknown protein,,,,,
CNAG_05181,BWC1,CWC1,15813738,15760278,white-collar transcription factor; blue-light photoresponsive gene,CNL04450,BWC1,CWC1,15813738,15760278,white-collar transcription factor; blue-light photoresponsive gene,CNBI2390,BWC1,CWC1,15813738,15760278,white-collar transcription factor; blue-light photoresponsive gene,CGB_D2610W,BWC1,CWC1,15813738,15760278,white-collar transcription factor; blue-light photoresponsive gene,CNBG_4515,BWC1,CWC1,15813738,15760278,white-collar transcription factor; blue-light photoresponsive gene,white-collar transcription factor; blue-light photoresponsive gene,white-collar transcription factor; blue-light photoresponsive gene,yes,,,white collar 1 protein,Potassium voltage-gated channel subfamily H member 6,,,,,
CNAG_02435,BWC2,CWC2,15813738,15760278,"white-collar transcription factor, blue-light photoresponsive gene",CNE01220,BWC2,CWC2,15813738,15760278,"white-collar transcription factor, blue-light photoresponsive gene",CNBE1170,BWC2,CWC2,15813738,15760278,"white-collar transcription factor, blue-light photoresponsive gene",CGB_E1450W,BWC2,CWC2,15813738,15760278,"white-collar transcription factor, blue-light photoresponsive gene",CNBG_4137,BWC2,CWC2,15813738,15760278,"white-collar transcription factor, blue-light photoresponsive gene","white-collar transcription factor, blue-light photoresponsive gene","white-collar transcription factor, blue-light photoresponsive gene",yes,,,white collar 2 protein,White collar 2 protein,YMR136W,GAT2,.00000016000000000000000335,32.43,111
